Resultado da busca;;;;;;;;;;;;;;;;;;;;;;
Papel;Cotaça;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Liq;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Liq;Div.Brut/ Patrim;Cresc. Rec.5a;Nota;Informaça
AALR3;4,65;-8,8;0,66;0,572;0,00%;0,234;162,01;8,21;-0,63;12,42;6,41;6,96%;-5,70%;1,01;3,13%;-7,54%;240.084,00;1.066.930.000,00;0,46;2,34%;;
ABCB4;23,65;5,97;0,86;0;11,07%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;14,47%;12.155.600,00;6.700.380.000,00;0;16,26%;;
ABEV3;13,65;13,42;2,34;2,378;8,16%;1,529;40,12;10,39;-35,35;9,58;7,23;22,88%;18,22%;1,15;20,18%;17,43%;440.292.000,00;92.027.400.000,00;0,03;5,89%;;
ADHM3;1,56;-4,09;-1,29;770,924;0,00%;105,126;-1,43;-5,69;-1,27;-5,69;-5,81;-13548,50%;-18860,60%;0;521,70%;31,47%;2.064,00;-19.776.000,00;0;43,48%;;
ADMF3;12;-0,17;1,55;1,771;0,00%;0,222;1,4;8,21;1,89;0;0;21,56%;-1060,79%;1,19;27,42%;-928,32%;36.190,00;45.164.000,00;4,74;0,00%;;
AERI3;3,25;-0,16;-0,97;0,24;0,00%;0,103;0,99;-0,23;-0,14;-2,2;-2,45;-103,77%;-147,83%;1,39;-48,38%;598,24%;305.945,00;-208.276.000,00;-8,41;-23,80%;;
AFLT3;7,12;12,88;1,76;5,515;4,81%;1,192;5,7;9;-332,47;8,78;8,81;61,29%;42,80%;2,9;14,83%;13,65%;1.716,53;255.393.000,00;0,11;4,56%;;
AGRO3;19,8;-85,74;0,97;1,988;3,80%;0,531;4,25;28,63;-3,81;44;22,51;6,94%;-2,32%;1,67;2,12%;-1,13%;3.521.800,00;2.103.470.000,00;0,63;-9,99%;;
AGXY3;4,4;0,06;-0,4;0,043;0,00%;0,034;0,15;-0,1;-0,05;-1,41;-1,76;-41,36%;69,73%;2,19;-35,52%;-661,54%;81.569,00;-185.458.000,00;-5,42;-25,15%;;
AHEB3;23;2,38;0,77;0,292;0,00%;0,332;1,32;2,81;-2,33;1,72;1,55;10,38%;12,25%;2,46;14,80%;32,19%;6.252,90;256.339.000,00;0,01;45,53%;;
ALLD3;8,38;2,25;0,47;0,148;31,37%;0,211;0,63;5,2;1,1;4,16;3,13;2,84%;6,55%;1,81;8,23%;20,88%;4.220.440,00;1.691.720.000,00;0,27;-0,99%;;
ALOS3;28,55;19,18;1,07;5,101;5,76%;0,546;5,64;10,02;-1,72;8;5,59;50,89%;30,66%;3,06;6,15%;5,59%;173.734.000,00;13.419.200.000,00;0;38,54%;;
ALPA3;10,38;18,97;1,65;1,6;17,75%;1,137;3,88;12,47;5,94;11,8;8,04;12,83%;8,41%;2,4;11,84%;8,69%;163.494,00;4.301.190.000,00;0,15;1,88%;;
ALPA4;11,73;21,44;1,86;1,808;16,21%;1,285;4,39;14,09;6,71;13,42;9,14;12,83%;8,41%;2,4;11,84%;8,69%;28.321.900,00;4.301.190.000,00;0,15;1,88%;;
ALPK3;4,68;727,39;2,87;0,569;0,00%;0,396;-8,69;2,36;-0,62;5,05;3,2;24,15%;0,46%;0,82;20,31%;0,40%;606.808,00;357.066.000,00;4,23;23,20%;;
ALUP11;31,99;9,06;1,17;2,42;4,00%;0,335;2,85;3,73;-0,81;7,01;6,59;64,81%;39,47%;2,55;10,05%;12,93%;24.423.500,00;8.999.650.000,00;1,39;-8,81%;;
ALUP3;11,9;10,12;1,31;2,701;3,59%;0,374;3,18;4,17;-0,9;7,44;6,99;64,81%;39,47%;2,55;10,05%;12,93%;81.446,50;8.999.650.000,00;1,39;-8,81%;;
ALUP4;10,12;8,6;1,11;2,297;4,22%;0,318;2,71;3,54;-0,77;6,82;6,41;64,81%;39,47%;2,55;10,05%;12,93%;115.355,00;8.999.650.000,00;1,39;-8,81%;;
AMAR3;1,01;32,23;1,76;0,347;0,00%;0,243;-1,96;2,94;-0,43;7,5;3,84;11,80%;1,08%;0,7;10,10%;5,45%;237.658,00;295.428.000,00;2,9;-16,99%;;
AMBP3;0,3;-1,95;0,46;0,069;0,00%;0,03;0,11;0,44;-0,07;6,08;3,44;15,56%;-2,56%;2,72;9,57%;-23,47%;7.266.700,00;1.093.330.000,00;10,1;56,82%;;
AMER3;5,02;-1,24;0,21;0,072;0,00%;0,062;0,35;-0,88;-0,26;-2,05;-8,38;-8,21%;-5,85%;1,63;-8,40%;-17,16%;13.056.200,00;4.737.000.000,00;0,4;-9,87%;;
AMOB3;12,93;-1,79;0,24;0,025;0,00%;0,058;0,29;1,05;-0,29;6,72;3,98;2,40%;-1,40%;1,58;7,51%;-13,19%;642.022,00;2.074.400.000,00;1,48;0,00%;;
ANIM3;3,29;8,43;0,56;0,337;1,63%;0,132;1,09;1,13;-0,29;4,39;3,2;29,83%;7,46%;1,92;14,37%;6,70%;25.818.200,00;2.354.430.000,00;2,34;13,26%;;
ARML3;4,59;29,35;1,25;0,855;4,64%;0,343;2,1;3,85;-0,82;8,38;5,18;22,22%;2,98%;2,21;11,52%;4,26%;5.173.240,00;1.271.350.000,00;1,97;30,95%;;
ARND3;0,88;9,32;0,42;2,038;0,00%;0,396;0,43;-6,53;0,43;8,89;12,17;-31,23%;21,86%;16,47;-155,93%;4,53%;8.766,12;293.687.000,00;0;1,74%;;
ASAI3;7,28;10,73;1,72;0,129;1,47%;0,218;5,98;1,73;-0,42;3,8;2,92;7,44%;1,20%;1,12;19,41%;16,05%;132.249.000,00;5.720.000.000,00;2,85;29,34%;;
ATED3;2;-9,67;2,35;1,679;0,00%;1,917;4,5;21,08;4,86;20,03;12,98;7,96%;-13,21%;6,99;10,71%;-24,33%;20.226,80;20.250.000,00;0,05;0,00%;;
AURA33;89,76;-76,47;11,37;4,453;0,92%;2,565;18,92;9,32;-6,13;9,52;9,52;47,80%;-5,82%;1,62;41,33%;-14,87%;49.468.100,00;1.714.890.000,00;1,33;21,31%;;
AURE3;11,63;-8,93;1;0,974;0,49%;0,25;5,99;7,83;-0,46;20,59;11,26;12,45%;-10,02%;1,3;3,68%;-11,15%;57.917.800,00;12.275.500.000,00;2,04;33,87%;;
AVLL3;0,96;-1,58;-0,99;0,288;0,00%;0,14;-3,54;1,15;-0,19;4,49;4,45;24,93%;-15,02%;0,91;14,87%;62,83%;26.373,20;-189.334.000,00;-3,85;29,01%;;
AXIA3;50;-24,25;1,33;3,419;7,19%;0,547;5,82;22,62;-1,39;29,23;17,32;15,11%;-14,11%;1,92;2,74%;-5,50%;638.474.000,00;109.290.000.000,00;0,65;7,63%;;
AXIA6;52,48;-25,45;1,4;3,588;6,22%;0,574;6,1;23,74;-1,46;30,35;17,98;15,11%;-14,11%;1,92;2,74%;-5,50%;125.276.000,00;109.290.000.000,00;0,65;7,63%;;
AZEV3;0,27;-0,22;1;0,597;0,00%;0,153;-1,37;-1,79;-0,24;-2,44;1,67;-33,36%;-269,37%;0,65;-9,69%;-453,29%;306.271,00;159.350.000,00;0,41;35,49%;;
AZEV4;0,22;-0,18;0,82;0,486;0,00%;0,125;-1,12;-1,46;-0,19;-2,1;1,44;-33,36%;-269,37%;0,65;-9,69%;-453,29%;2.588.550,00;159.350.000,00;0,41;35,49%;;
AZTE3;0,42;-57,99;0,56;46,331;0,00%;0,54;-20,19;-27,65;-14,49;-27,99;-30,74;-167,57%;-79,90%;0,14;-1,98%;-0,97%;948.299,00;252.553.000,00;0,01;0,00%;;
AZUL4;0,81;0,05;-0,03;0,035;0,00%;0,027;-0,04;0,19;-0,02;9,25;5,24;18,18%;72,55%;0,27;17,57%;-57,23%;16.765.700,00;-27.406.700.000,00;-1,36;24,72%;;
AZZA3;25,39;6,96;0,63;0,438;9,75%;0,338;1,61;5,31;-17,83;7,67;4,49;8,25%;6,29%;1,9;7,46%;9,02%;80.106.400,00;8.347.710.000,00;0,37;43,57%;;
B3SA3;13,43;14,56;3,58;6,526;1,60%;1,494;6,64;11,06;-6,85;10,88;10,25;58,99%;44,82%;2,62;20,42%;24,55%;549.899.000,00;19.783.500.000,00;0,74;1,41%;;
BALM3;28;11,09;1,5;1,252;16,57%;0,912;1,8;7,43;2,56;5,5;4,81;16,86%;11,21%;3,12;19,06%;13,52%;1.216,93;182.965.000,00;0,12;10,97%;;
BALM4;17,7;7,01;0,95;0,791;26,21%;0,577;1,14;4,69;1,62;2,77;2,42;16,86%;11,21%;3,12;19,06%;13,52%;91.883,60;182.965.000,00;0,12;10,97%;;
BAUH4;93,3;17,43;3,44;1,785;1,32%;2,38;8,75;22,49;9,28;19,48;15,67;7,94%;10,25%;1,93;21,89%;19,75%;19.531,60;141.596.000,00;0;11,47%;;
BAZA3;77,8;4,06;0,6;0;10,26%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;14,74%;329.151,00;7.283.050.000,00;0;15,88%;;
BBAS3;21,68;5,75;0,7;0;5,44%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;12,13%;516.344.000,00;178.142.000.000,00;0;1,13%;;
BBDC3;15,64;7,2;0,98;0;8,24%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;13,57%;93.159.900,00;169.590.000.000,00;0;-6,06%;;
BBDC4;18,22;8,39;1,14;0;7,78%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;13,57%;559.490.000,00;169.590.000.000,00;0;-6,06%;;
BBSE3;35,74;7,94;5,55;0;11,90%;3,497;0;7,22;0;0;0;0,00%;0,00%;0;0,00%;69,93%;187.483.000,00;12.869.800.000,00;0;0,00%;;
BDLL3;7,7;0,82;-0,06;0,209;0,00%;0,028;-0,08;-1,23;-0,03;-18,64;-22,95;-16,94%;25,56%;0,55;-2,45%;-6,83%;58,9;-220.537.000,00;-0,82;33,02%;;
BDLL4;6,5;0,69;-0,05;0,176;0,00%;0,024;-0,07;-1,04;-0,02;-18,45;-22,71;-16,94%;25,56%;0,55;-2,45%;-6,83%;783,63;-220.537.000,00;-0,82;33,02%;;
BEEF3;5,37;-6,59;4,16;0,105;3,06%;0,118;0,73;1,51;-0,36;4,83;3,83;6,92%;-1,57%;1,35;17,04%;-63,09%;98.143.500,00;1.291.830.000,00;20,66;14,53%;;
BEES3;8,14;6,47;1,16;0;8,11%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;17,91%;112.173,00;2.442.350.000,00;0;11,77%;;
BEES4;8,14;6,47;1,16;0;8,11%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;17,91%;49.350,20;2.442.350.000,00;0;11,77%;;
BGIP3;38,49;6,26;0,95;0;10,42%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;15,25%;7.478,70;868.624.000,00;0;5,37%;;
BGIP4;34,79;5,66;0,86;0;12,68%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;15,25%;50.584,90;868.624.000,00;0;5,37%;;
BHIA3;3,1;-1,06;0,77;0,071;0,00%;0,059;-0,35;0,98;-0,12;4,39;2,94;7,22%;-6,66%;0,71;8,33%;-72,55%;18.686.300,00;2.634.000.000,00;3,54;-3,51%;;
BIED3;3,9;-1,9;1,56;0,302;0,00%;0,231;-1,01;47,28;-0,35;62,21;8,57;0,64%;-16,19%;0,33;0,51%;-82,07%;14.299,70;66.699.000,00;0,72;7,52%;;
BIOM3;7,1;-15,75;3,42;6,817;0,00%;2,003;6,34;-19,11;16,82;-19,64;-17,95;-35,68%;-43,27%;2,45;-14,21%;-21,71%;905.173,00;284.098.000,00;0,36;8,57%;;
BLAU3;13,91;7,88;1,06;1,411;7,36%;0,689;1,94;6,71;3,65;7,34;6,27;21,02%;17,89%;2,9;12,22%;13,47%;4.249.900,00;2.350.160.000,00;0,23;7,54%;;
BLUT3;5,14;-5,63;0,46;0;0,00%;0,138;-0,76;-42,93;-0,2;-53,97;-53,97;0,00%;0,00%;0;-0,33%;-8,24%;3.091,81;56.569.000,00;0,12;0,00%;;
BLUT4;1,52;-1,66;0,14;0;0,00%;0,041;-0,22;-12,69;-0,06;-23,74;-23,74;0,00%;0,00%;0;-0,33%;-8,24%;10.453,20;56.569.000,00;0,12;0,00%;;
BMEB3;62;6,9;2,89;0;0,04%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;41,92%;65.022,90;2.248.540.000,00;0;21,78%;;
BMEB4;65;7,23;3,03;0;0,04%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;41,92%;2.091.940,00;2.248.540.000,00;0;21,78%;;
BMGB4;4,96;6,09;0,77;0;10,74%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;12,68%;3.619.920,00;3.846.090.000,00;0;0,91%;;
BMIN4;18,47;11,07;0,62;0;7,58%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;5,57%;5.395,00;144.393.000,00;0;-1,98%;;
BMKS3;370,15;2,82;0,69;11,895;41,37%;0,625;0,79;-8,86;0,87;0,79;0,8;-134,20%;422,10%;58,78;-23,11%;24,32%;132.225,00;245.638.000,00;0,01;-7,31%;;
BMOB3;22;12,83;1,66;1,152;12,00%;1,089;2,75;13,34;3,08;10,11;6,77;8,64%;9,20%;2,34;12,48%;12,93%;10.096.700,00;1.135.950.000,00;0,02;40,73%;;
BNBR3;110,02;3,85;0,7;0;5,49%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;18,19%;13.944,90;15.521.300.000,00;0;8,02%;;
BOBR4;1,3;-0,22;-0,21;0,212;0,00%;0,408;-6,85;1,71;-0,16;2,93;2,57;12,41%;-97,15%;0,89;33,60%;96,55%;17.037,40;-1.607.720.000,00;-0,18;9,13%;;
BPAC11;52,19;13,63;3,05;0;2,67%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;22,38%;452.661.000,00;65.605.500.000,00;0;13,42%;;
BPAC3;38,9;30,49;6,82;0;1,20%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;22,38%;187.444,00;65.605.500.000,00;0;13,42%;;
BPAC5;11,19;8,77;1,96;0;4,16%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;22,38%;89.045,10;65.605.500.000,00;0;13,42%;;
BPAN4;11,21;18,87;1,83;0;0,00%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;9,67%;22.021.500,00;7.792.670.000,00;0;-1,53%;;
BRAP3;18,08;6,29;0,78;0;16,48%;0,771;16,05;-202,83;16,2;-187,65;-187,65;0,00%;0,00%;5,95;-0,40%;12,38%;1.351.960,00;9.123.790.000,00;0;0,00%;;
BRAP4;20,08;6,99;0,87;0;16,32%;0,856;17,82;-225,27;17,99;-210,09;-210,09;0,00%;0,00%;5,95;-0,40%;12,38%;107.090.000,00;9.123.790.000,00;0;0,00%;;
BRAV3;16,67;7,97;0,62;0,702;0,00%;0,184;2,2;2,81;-0,36;6,61;3,88;24,98%;8,81%;1,72;7,79%;7,83%;159.732.000,00;12.403.500.000,00;1,28;109,16%;;
BRBI11;19,24;11,7;2,5;6,339;9,67%;0,119;3,03;432,94;3,03;185,29;64,11;1,46%;54,18%;1,04;2,83%;21,33%;5.208.830,00;809.605.000,00;19,31;-41,46%;;
BRKM3;7,98;-1,34;-1,8;0,086;0,00%;0,073;1,62;-3,09;-0,1;-21,18;16,86;-2,80%;-7,23%;1,18;-3,12%;134,56%;187.502,00;-3.533.000.000,00;-12,66;-8,37%;;
BRKM5;7,75;-1,3;-1,75;0,084;0,00%;0,071;1,58;-3;-0,1;-21,09;16,79;-2,80%;-7,23%;1,18;-3,12%;134,56%;33.741.400,00;-3.533.000.000,00;-12,66;-8,37%;;
BRKM6;9;-1,51;-2,03;0,097;0,00%;0,082;1,83;-3,48;-0,11;-21,57;17,17;-2,80%;-7,23%;1,18;-3,12%;134,56%;1.141,45;-3.533.000.000,00;-12,66;-8,37%;;
BRSR3;16,7;5,55;0,63;0;9,60%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;11,32%;166.503,00;10.874.300.000,00;0;5,41%;;
BRSR5;15,1;5,02;0,57;0;12,58%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;11,32%;276,3;10.874.300.000,00;0;5,41%;;
BRSR6;15,31;5,08;0,58;0;10,47%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;11,32%;21.330.200,00;10.874.300.000,00;0;5,41%;;
BRST3;3,35;21,19;0,93;0,907;2,45%;0,355;-30;6,5;-0,79;13,74;4,35;13,97%;4,30%;0,93;6,12%;4,39%;738.257,00;1.576.320.000,00;1,25;0,00%;;
BSLI3;6,71;4,67;0,82;0;6,09%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;17,52%;45.778,10;3.984.960.000,00;0;17,64%;;
BSLI4;7,19;5,01;0,88;0;6,25%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;17,52%;25.834,20;3.984.960.000,00;0;17,64%;;
CALI3;16,05;5,3;0,63;0,593;1,68%;0,163;0,28;9,24;1,64;15,69;13,3;6,42%;11,40%;5,79;1,96%;11,84%;2.409,62;178.731.000,00;0,73;15,47%;;
CAMB3;9,89;6,33;1,35;1,062;10,69%;1,055;3,04;5,97;3,51;5,1;4,25;17,78%;16,77%;3,04;22,33%;21,24%;288.152,00;310.829.000,00;0,01;15,08%;;
CAML3;5,53;11,77;0,56;0,164;5,30%;0,171;0,9;3,73;-1,25;10,9;7,18;4,41%;1,40%;1,51;6,44%;4,79%;4.462.540,00;3.429.760.000,00;1,64;9,47%;;
CASH3;3,83;7,94;0,8;1,017;0,00%;0,649;6,24;5,64;9,3;4,77;3,87;18,02%;12,50%;1,73;13,13%;10,03%;8.322.840,00;544.430.000,00;0;14,77%;;
CBAV3;7,04;19,58;1,01;0,516;0,00%;0,33;1,98;15,72;-1,01;26,58;7,55;3,28%;3,81%;2,01;2,53%;5,18%;30.294.200,00;4.521.800.000,00;0,97;-0,83%;;
CBEE3;10,01;6,55;0,46;0,405;4,18%;0,189;-0,99;3,81;-0,48;8,93;4,52;10,64%;6,19%;0,51;5,40%;6,99%;4.836,30;8.308.650.000,00;0,63;4,22%;;
CEAB3;12,41;7,23;1,08;0,474;4,51%;0,429;2,7;3,76;-3,39;3,83;2,85;12,60%;6,56%;1,5;16,14%;14,95%;137.831.000,00;3.536.830.000,00;0,35;11,98%;;
CEBR3;27,02;10,11;1,96;4,06;16,58%;1,359;3;14,02;3,43;10,52;9,93;28,96%;50,75%;7,12;15,07%;19,36%;159.814,00;994.854.000,00;0;7,98%;;
CEBR5;26,27;9,83;1,9;3,948;17,06%;1,321;2,92;13,63;3,33;10,13;9,56;28,96%;50,75%;7,12;15,07%;19,36%;121.874,00;994.854.000,00;0;7,98%;;
CEBR6;29;10,85;2,1;4,358;17,00%;1,458;3,23;15,05;3,68;11,55;10,9;28,96%;50,75%;7,12;15,07%;19,36%;309.191,00;994.854.000,00;0;7,98%;;
CEDO3;14;3,43;0,48;0,148;0,00%;0,146;4;0,99;-0,52;3,7;3,11;14,89%;4,29%;1,1;16,10%;14,05%;957,73;290.830.000,00;1,34;-0,98%;;
CEDO4;10,3;2,52;0,35;0,109;0,00%;0,108;2,94;0,73;-0,38;3,44;2,89;14,89%;4,29%;1,1;16,10%;14,05%;6.990,15;290.830.000,00;1,34;-0,98%;;
CEEB3;45,06;5,66;1,38;0,643;12,36%;0,354;-40,03;2,61;-0,62;6,11;4,97;24,62%;11,36%;0,95;14,60%;24,33%;135.120,00;8.568.000.000,00;1,98;6,28%;;
CEEB5;39;4,9;1,19;0,557;14,28%;0,306;-34,65;2,26;-0,54;5,76;4,68;24,62%;11,36%;0,95;14,60%;24,33%;3.657,95;8.568.000.000,00;1,98;6,28%;;
CEED3;8,95;-0,98;-0,15;0,1;0,00%;0,068;1,22;1,06;-0,06;11,39;8,25;9,44%;-10,25%;1,22;7,79%;15,49%;44,75;-4.031.280.000,00;-1,68;6,70%;;
CGAS3;120,2;9,85;7,86;1,234;7,34%;1,071;12,28;5,27;-1,86;7,6;6,18;23,43%;12,52%;1,43;24,07%;79,80%;16.614,00;2.026.140.000,00;4,25;3,30%;;
CGAS5;130,29;10,68;8,52;1,337;7,45%;1,161;13,31;5,71;-2,02;8,05;6,54;23,43%;12,52%;1,43;24,07%;79,80%;156.707,00;2.026.140.000,00;4,25;3,30%;;
CGRA3;28;6,58;0,7;0,904;21,20%;0,511;1,77;7,38;2,88;5,02;3,8;12,25%;13,75%;2,81;9,20%;10,65%;88.932,70;957.426.000,00;0;5,52%;;
CGRA4;27,3;6,41;0,68;0,882;21,74%;0,498;1,73;7,2;2,81;4,83;3,66;12,25%;13,75%;2,81;9,20%;10,65%;662.908,00;957.426.000,00;0;5,52%;;
CLSC3;115,79;6,37;1,13;0,383;7,64%;0,331;6,34;3,82;-0,77;7,33;5,55;10,05%;6,02%;1,23;9,61%;17,75%;14.136,90;3.951.430.000,00;1,15;0,80%;;
CLSC4;124,95;6,87;1,22;0,414;7,78%;0,357;6,84;4,12;-0,83;7,64;5,78;10,05%;6,02%;1,23;9,61%;17,75%;605.046,00;3.951.430.000,00;1,15;0,80%;;
CMIG3;14,54;10,35;1,45;0,981;6,18%;0,643;-25,42;6,33;-1,83;8,33;6,8;15,48%;9,48%;0,89;11,11%;13,99%;2.264.640,00;28.728.500.000,00;0,54;7,64%;;
CMIG4;11,16;7,95;1,11;0,753;8,05%;0,493;-19,51;4,86;-1,4;6,86;5,6;15,48%;9,48%;0,89;11,11%;13,99%;126.720.000,00;28.728.500.000,00;0,54;7,64%;;
CMIN3;5,3;11,76;2,88;1,622;8,39%;0,801;3,43;5,31;-3,07;4,51;3,68;30,54%;13,78%;2,02;26,67%;24,47%;42.758.100,00;10.097.400.000,00;0,91;0,24%;;
COCE3;32,5;9,53;0,54;0,317;3,75%;0,178;-0,97;2,25;-0,39;6,84;4,28;14,08%;3,33%;0,53;8,82%;5,64%;241,25;5.211.990.000,00;1,12;3,16%;;
COCE5;33,9;9,94;0,56;0,331;3,60%;0,186;-1,01;2,35;-0,4;6,94;4,34;14,08%;3,33%;0,53;8,82%;5,64%;405.428,00;5.211.990.000,00;1,12;3,16%;;
COGN3;3,13;4,85;0,51;0,926;5,27%;0,271;3,33;2,86;-1,15;5,12;3,91;32,38%;20,70%;1,81;10,54%;10,43%;95.914.900,00;12.762.500.000,00;0,5;12,57%;;
CPFE3;53,76;11,37;2,73;1,393;5,20%;0,751;609,16;5,47;-1,54;7,49;6,34;25,46%;12,93%;1,01;15,64%;24,04%;116.077.000,00;22.670.100.000,00;1,27;3,87%;;
CPLE3;12,14;16,4;1,39;1,452;3,27%;0,584;9,1;8,32;-1,58;12,22;9,14;17,44%;8,80%;1,43;7,90%;8,50%;148.577.000,00;25.986.000.000,00;0,81;1,20%;;
CPLE5;13,58;18,34;1,56;1,624;3,22%;0,653;10,18;9,31;-1,76;13,21;9,87;17,44%;8,80%;1,43;7,90%;8,50%;101.461.000,00;25.986.000.000,00;0,81;1,20%;;
CPLE6;14,26;19,26;1,64;1,705;3,07%;0,686;10,69;9,78;-1,85;13,67;10,22;17,44%;8,80%;1,43;7,90%;8,50%;20.645.000,00;25.986.000.000,00;0,81;1,20%;;
CRPG3;17,01;-20,52;0,88;0,648;0,00%;0,536;1,5;-12,74;2,21;-10,65;-52,99;-5,09%;-3,16%;2,3;-5,95%;-4,29%;510,95;560.276.000,00;0,01;-8,70%;;
CRPG5;18,39;-22,19;0,95;0,701;0,00%;0,58;1,62;-13,78;2,39;-11,68;-58,13;-5,09%;-3,16%;2,3;-5,95%;-4,29%;101.641,00;560.276.000,00;0,01;-8,70%;;
CRPG6;18,1;-21,84;0,94;0,69;0,00%;0,57;1,59;-13,56;2,35;-11,47;-57,05;-5,09%;-3,16%;2,3;-5,95%;-4,29%;6.299,73;560.276.000,00;0,01;-8,70%;;
CSAN3;5,25;-1,58;3,53;0,489;0,00%;0,166;1,75;2,25;-0,31;8,12;5,5;21,76%;-27,77%;1,8;8,52%;-223,96%;254.873.000,00;5.901.320.000,00;11,4;15,81%;;
CSED3;6,08;8,78;1,34;0,806;7,99%;0,464;6,47;3,89;-1,11;4,64;3,18;20,71%;9,18%;1,44;14,82%;15,25%;4.058.530,00;1.656.110.000,00;0,76;11,30%;;
CSMG3;43,47;12,24;1,92;2,025;5,25%;0,985;50,25;7,66;-2,81;10,44;7,34;26,44%;16,55%;1,17;13,74%;15,68%;105.360.000,00;8.612.450.000,00;0,77;9,81%;;
CSNA3;8,7;-7,42;0,82;0,254;0,00%;0,114;1,44;1,76;-0,23;7,04;4,34;14,46%;-1,92%;1,32;8,61%;-11,00%;78.569.100,00;14.141.900.000,00;3,69;-0,81%;;
CSUD3;16,89;7,49;1,39;1,167;16,50%;0,946;15,43;5,85;363,35;5,43;3,58;19,95%;15,58%;1,24;20,52%;18,49%;1.211.860,00;509.731.000,00;0,1;4,34%;;
CTAX3;0,88;-0,18;0,26;0,054;0,00%;0,021;-0,07;-2,01;-0,03;-13,89;12,31;-2,70%;-29,79%;0,38;-1,13%;-144,99%;7.003,40;89.018.000,00;2,62;-22,90%;;
CTKA3;50;2,81;5,75;0,412;0,00%;0,428;1,35;3,54;-1,65;7,53;6,07;11,64%;14,68%;1,91;15,93%;204,93%;1.498,25;53.936.000,00;7,77;10,02%;;
CTKA4;38,11;2,14;4,38;0,314;0,00%;0,326;1,03;2,7;-1,26;6,69;5,39;11,64%;14,68%;1,91;15,93%;204,93%;41.595,20;53.936.000,00;7,77;10,02%;;
CTSA3;2,32;-0,1;0,16;0,454;0,00%;0,024;-0,06;-0,21;-0,04;-3,34;-3,84;-212,43%;-453,89%;0,28;-12,97%;-162,83%;346,18;99.103.000,00;2,41;-50,19%;;
CTSA4;2,02;-0,09;0,14;0,395;0,00%;0,021;-0,05;-0,19;-0,03;-3,31;-3,81;-212,43%;-453,89%;0,28;-12,97%;-162,83%;1.768,47;99.103.000,00;2,41;-50,19%;;
CURY3;31,52;11,14;7,01;1,936;12,84%;1,724;5,71;7,62;-16,65;7,26;7,07;25,42%;19,40%;2;35,66%;62,90%;95.078.000,00;1.385.220.000,00;0,96;32,71%;;
CVCB3;2,2;-15,53;2,3;0,777;0,00%;0,323;-2,41;7,27;-1,09;8,15;3,42;10,69%;-5,00%;0,81;5,92%;-14,79%;26.203.500,00;503.499.000,00;0,76;19,94%;;
CXSE3;16,54;11,31;3,67;0;7,63%;3,393;60,05;-354,7;60,99;-346,88;-348,37;0,00%;0,00%;1,75;-1,03%;32,48%;58.318.600,00;13.505.700.000,00;0;0,00%;;
CYRE3;23,96;6,01;1,05;1,259;13,33%;0,439;1,05;7,45;10,35;9,7;8,99;16,90%;17,67%;3,51;7,18%;17,45%;183.110.000,00;10.433.800.000,00;0,72;17,29%;;
CYRE4;24,3;6,1;1,06;1,277;0,00%;0,445;1,07;7,56;10,49;9,8;9,08;16,90%;17,67%;3,51;7,18%;17,45%;197.926,00;10.433.800.000,00;0,72;17,29%;;
DASA3;4,48;-5,47;0,72;0,447;0,00%;0,266;4,62;6,11;-0,84;12,47;5,23;7,32%;-8,11%;1,23;5,22%;-13,14%;9.876.800,00;7.821.120.000,00;1,07;6,62%;;
DESK3;16,84;26,69;1,39;1,634;0,83%;0,523;14,49;5,85;-1,18;9,22;5,26;27,95%;6,80%;1,26;10,15%;5,22%;15.605.000,00;1.402.260.000,00;1,06;22,97%;;
DEXP3;7,85;6,18;0,93;0,437;10,67%;0,6;1,3;6,77;2,04;6,19;5;6,46%;7,08%;3,48;12,09%;15,00%;1.499.130,00;1.040.570.000,00;0,22;5,73%;;
