Resultado da busca;;;;;;;;;;;;;;;;;;;;;;
Papel;Cotaça;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;EV/EBITDA;Mrg Ebit;Mrg. Liq;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Liq;Div.Brut/ Patrim;Cresc. Rec.5a;Nota;Informaça
ITSA4;11,63;8,2;1,41;15,873;14,54%;1,15;24,77;704,95;-19,02;728,21;93,43;2,25%;194,75%;2,18;0,17%;17,22%;362.546.000,00;92.412.000.000,00;0,1;0,25%;;
ITUB3;36,31;9,27;1,93;0;12,29%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;20,86%;39.734.900,00;207.181.000.000,00;0;124,84%;;
ITUB4;39,15;9,99;2,08;0;11,40%;0;0;0;0;0;0;0,00%;0,00%;0;0,00%;20,86%;936.791.000,00;207.181.000.000,00;0;124,84%;;
JALL3;2,79;-10,28;0,42;0,333;0,00%;0,114;0,47;-9,62;-0,33;-47,64;3,59;-3,46%;-3,24%;2,74;-1,52%;-4,10%;3.001.400,00;2.008.130.000,00;2,41;16,15%;;
JFEN3;0,96;-0,05;-0,14;0,056;0,00%;0,016;0,05;-0,1;-0,05;-2,33;-2,69;-58,05%;-117,45%;1,66;-18,03%;288,39%;17.277,10;-88.903.000,00;-3,27;124,67%;;
JHSF3;7,84;4,13;0,85;2,724;4,76%;0,341;1,57;6,99;-1,47;11,61;10,65;39,00%;66,36%;2,8;5,68%;20,57%;26.803.100,00;6.287.800.000,00;0,91;-1,95%;;
JOPA3;20,11;25,05;0,35;0,107;3,15%;0,095;0,23;2,57;1,45;8,08;6,97;4,17%;0,68%;2,31;5,69%;1,39%;452,48;610.043.000,00;1,96;1,22%;;
JPSA3;29,02;20,27;1,93;4,667;0,29%;0,468;2,34;12,96;-1,68;20,35;12,83;36,02%;46,31%;5,31;4,56%;9,51%;7.666.510,00;1.762.140.000,00;1,94;1,01%;;
JSLG3;6,06;18,45;0,95;0,179;31,54%;0,139;0,8;1,67;-0,29;7,98;4,61;10,71%;0,97%;1,88;9,88%;5,13%;7.188.440,00;1.836.170.000,00;4,48;88,20%;;
KEPL3;9,88;12,51;2,35;1,144;8,47%;1,144;3,61;9,58;8,08;9,52;7,9;11,94%;9,14%;1,94;17,23%;18,77%;26.743.600,00;755.919.000,00;0,47;7,46%;;
KLBN11;19,09;12,89;2,33;1,146;8,80%;0,383;2,72;4,83;-0,77;10,13;5,1;23,70%;9,87%;2,12;10,21%;18,06%;106.655.000,00;10.239.100.000,00;3,5;6,12%;;
KLBN3;3,82;12,9;2,33;1,146;8,80%;0,384;2,72;4,84;-0,77;10,13;5,1;23,70%;9,87%;2,12;10,21%;18,06%;4.015.000,00;10.239.100.000,00;3,5;6,12%;;
