Resultado da busca;;;;;;;;;;;;;;
Papel;Segmento;CotaÃ§a;FFO Yield;Dividend Yield;P/VP;Valor de Mercado;Liquidez;Qtd de imovei;PreÃ§o do ;Aluguel por m2;Cap Rate;Vacancia Med;Nota;InformaÃ§a
DAMA11;Multicategoria;7,8;12,32%;12,13%;0,95;43.188.800;35.760;0;0;0;0,00%;0,00%;;
DAMT11;Shoppings;9,7;2,31%;4,02%;0,66;172.464.000;189;2;974,87;183,73;18,85%;3,29%;;
DAYM11;Outros;3,99;7,69%;4,23%;0,4;68.232.700;3.135;6;3.107,51;616,36;19,83%;9,60%;;
DCRA11;Outros;7,38;19,20%;10,91%;0,76;49.733.100;80.079;0;0;0;0,00%;0,00%;;
DEVA11;Multicategoria;26,84;17,88%;17,76%;0,27;376.965.000;672.272;0;0;0;0,00%;0,00%;;
DPRO11;Multicategoria;6,32;11,17%;11,04%;0,69;31.620.400;438;1;1.920,15;256,98;13,38%;0,00%;;
DVFF11;Outros;5,89;13,86%;13,26%;0,69;64.846.000;49.561;0;0;0;0,00%;0,00%;;
EDFO11;Residencial;127,77;11,32%;9,42%;0,61;30.153.700;14.049;1;84.676,60;13.018,29;15,37%;100,05%;;
EDGA11;Multicategoria;13,65;3,04%;4,28%;0,29;52.034.600;32.211;1;2.069,91;305,97;14,78%;22,87%;;
EDGE11;Multicategoria;1.071,80;9,50%;6,86%;0,9;12.255.000;123.147;0;0;0;0,00%;0,00%;;
EGAF11;Tï¿½ï¿½tulos e Val.;95,8;13,22%;10,30%;0,97;300.037.000;651.179;0;0;0;0,00%;0,00%;;
EIRA11;Multicategoria;104,4;6,79%;7,75%;1;20.931.200;131;0;0;0;0,00%;0,00%;;
EMET11;Multicategoria;10,7;6,32%;5,54%;1,04;53.500.000;109.010;0;0;0;0,00%;0,00%;;
EQIR11;Multicategoria;8,23;13,78%;14,39%;0,86;89.783.700;118.068;0;0;0;0,00%;0,00%;;
ERPA11;Multicategoria;129,99;6,04%;8,33%;0,82;65.114.900;31.257;1;19.264,30;1.335,14;6,93%;0,00%;;
EURO11;Logï¿½ï¿½;299,95;8,07%;7,81%;0,91;115.162.000;42.277;7;972,59;87,1;8,96%;0,00%;;
EXES11;Multicategoria;9,46;8,13%;16,04%;0,97;133.400.000;176.429;0;0;0;0,00%;0,00%;;
FAED11;Outros;153,53;12,84%;12,77%;0,69;106.301.000;55.373;4;2.312,60;313,31;13,55%;0,00%;;
FAMB11;Residencial;1.039,00;119,06%;3,12%;0,57;127.317.000;35.449;1;2.134,08;50,89;2,38%;98,02%;;
FATN11;Multicategoria;86,7;6,20%;5,32%;0,88;454.250.000;1.794.160;54;30.425,20;2.484,61;8,17%;1,59%;;
FCFL11;Multicategoria;124,6;8,59%;8,55%;1,01;432.862.000;166.114;1;13.875,40;1.241,41;8,95%;0,00%;;
FGAA11;Outros;9,25;14,29%;15,06%;0,98;417.003.000;891.433;0;0;0;0,00%;0,00%;;
FIGS11;Shoppings;46,6;11,59%;11,87%;0,61;132.810.000;403.581;2;2.021,47;241,17;11,93%;5,93%;;
FIIB11;Logï¿½ï¿½;478,9;9,57%;10,04%;1,01;328.046.000;601.773;11;592,51;63,31;10,69%;0,00%;;
FIIP11;Logï¿½ï¿½;156,43;12,03%;10,64%;0,78;145.036.000;501.289;7;2.067,81;266,92;12,91%;0,00%;;
FISC11;Escritï¿½ï¿;54,46;10,16%;11,43%;0,48;92.581.800;2.739;4;7.382,01;987,3;13,37%;4,19%;;
